Sentence,Tags
चेन्नई सुपर किंग्स के MS Dhoni इंडियन प्रीमियर लीग के बाद बिग बैश लीग में खेलते हुए नजर आ सकते हैं।,"[{'key': 'चेन्नई', 'value': 'hi', 'index': 0}, {'key': 'सुपर', 'value': 'hi', 'index': 1}, {'key': 'किंग्स', 'value': 'hi', 'index': 2}, {'key': 'के', 'value': 'hi', 'index': 3}, {'key': 'MS', 'value': 'en', 'index': 4}, {'key': 'Dhoni', 'value': 'en', 'index': 5}, {'key': 'इंडियन', 'value': 'hi', 'index': 6}, {'key': 'प्रीमियर', 'value': 'hi', 'index': 7}, {'key': 'लीग', 'value': 'hi', 'index': 8}, {'key': 'के', 'value': 'hi', 'index': 9}, {'key': 'बाद', 'value': 'hi', 'index': 10}, {'key': 'बिग', 'value': 'hi', 'index': 11}, {'key': 'बैश', 'value': 'hi', 'index': 12}, {'key': 'लीग', 'value': 'hi', 'index': 13}, {'key': 'में', 'value': 'hi', 'index': 14}, {'key': 'खेलते', 'value': 'hi', 'index': 15}, {'key': 'हुए', 'value': 'hi', 'index': 16}, {'key': 'नजर', 'value': 'hi', 'index': 17}, {'key': 'आ', 'value': 'hi', 'index': 18}, {'key': 'सकते', 'value': 'hi', 'index': 19}, {'key': 'हैं।', 'value': 'hi', 'index': 20}]"
यह एफआईआर दानापुर मजिस्ट्रेट प्रतिमा गुप्ता ( Magistrate Pratima Gupta ) के बयान के आधार पर दर्ज कराया गया है।,"[{'key': 'यह', 'value': 'hi', 'index': 0}, {'key': 'एफआईआर', 'value': 'hi', 'index': 1}, {'key': 'दानापुर', 'value': 'hi', 'index': 2}, {'key': 'मजिस्ट्रेट', 'value': 'hi', 'index': 3}, {'key': 'प्रतिमा', 'value': 'hi', 'index': 4}, {'key': 'गुप्ता', 'value': 'hi', 'index': 5}, {'key': '(', 'value': 'un', 'index': 6}, {'key': 'Magistrate', 'value': 'en', 'index': 7}, {'key': 'Pratima', 'value': 'en', 'index': 8}, {'key': 'Gupta', 'value': 'en', 'index': 9}, {'key': ')', 'value': 'un', 'index': 10}, {'key': 'के', 'value': 'hi', 'index': 11}, {'key': 'बयान', 'value': 'hi', 'index': 12}, {'key': 'के', 'value': 'hi', 'index': 13}, {'key': 'आधार', 'value': 'hi', 'index': 14}, {'key': 'पर', 'value': 'hi', 'index': 15}, {'key': 'दर्ज', 'value': 'hi', 'index': 16}, {'key': 'कराया', 'value': 'hi', 'index': 17}, {'key': 'गया', 'value': 'hi', 'index': 18}, {'key': 'है।', 'value': 'hi', 'index': 19}]"
गुजरात माध्यमिक और उच्चतर माध्यमिक शिक्षा बोर्ड (GSEB) माध्यमिक स्कूल प्रमाणपत्र (SSC) और उच्चतर माध्यमिक (स्कूल) प्रमाणपत्र (HSC) के लिए वार्षिक परीक्षा आयोजित करता है।,"[{'key': 'गुजरात', 'value': 'hi', 'index': 0}, {'key': 'माध्यमिक', 'value': 'hi', 'index': 1}, {'key': 'और', 'value': 'hi', 'index': 2}, {'key': 'उच्चतर', 'value': 'hi', 'index': 3}, {'key': 'माध्यमिक', 'value': 'hi', 'index': 4}, {'key': 'शिक्षा', 'value': 'hi', 'index': 5}, {'key': 'बोर्ड', 'value': 'hi', 'index': 6}, {'key': '(GSEB)', 'value': 'en', 'index': 7}, {'key': 'माध्यमिक', 'value': 'hi', 'index': 8}, {'key': 'स्कूल', 'value': 'hi', 'index': 9}, {'key': 'प्रमाणपत्र', 'value': 'hi', 'index': 10}, {'key': '(SSC)', 'value': 'en', 'index': 11}, {'key': 'और', 'value': 'hi', 'index': 12}, {'key': 'उच्चतर', 'value': 'hi', 'index': 13}, {'key': 'माध्यमिक', 'value': 'hi', 'index': 14}, {'key': '(स्कूल)', 'value': 'hi', 'index': 15}, {'key': 'प्रमाणपत्र', 'value': 'hi', 'index': 16}, {'key': '(HSC)', 'value': 'en', 'index': 17}, {'key': 'के', 'value': 'hi', 'index': 18}, {'key': 'लिए', 'value': 'hi', 'index': 19}, {'key': 'वार्षिक', 'value': 'hi', 'index': 20}, {'key': 'परीक्षा', 'value': 'hi', 'index': 21}, {'key': 'आयोजित', 'value': 'hi', 'index': 22}, {'key': 'करता', 'value': 'hi', 'index': 23}, {'key': 'है।', 'value': 'hi', 'index': 24}]"
Bilaspur Crime News: आबकारी और पुलिस की संयुक्त टीम ने तखतपुर क्षेत्र के सोनबंधा में दबिश देकर दस क्विंटल महुआ लहान जब्त किया है।,"[{'key': 'Bilaspur', 'value': 'en', 'index': 0}, {'key': 'Crime', 'value': 'en', 'index': 1}, {'key': 'News', 'value': 'en', 'index': 2}, {'key': ':', 'value': 'un', 'index': 3}, {'key': 'आबकारी', 'value': 'hi', 'index': 4}, {'key': 'और', 'value': 'hi', 'index': 5}, {'key': 'पुलिस', 'value': 'hi', 'index': 6}, {'key': 'की', 'value': 'hi', 'index': 7}, {'key': 'संयुक्त', 'value': 'hi', 'index': 8}, {'key': 'टीम', 'value': 'hi', 'index': 9}, {'key': 'ने', 'value': 'hi', 'index': 10}, {'key': 'तखतपुर', 'value': 'hi', 'index': 11}, {'key': 'क्षेत्र', 'value': 'hi', 'index': 12}, {'key': 'के', 'value': 'hi', 'index': 13}, {'key': 'सोनबंधा', 'value': 'hi', 'index': 14}, {'key': 'में', 'value': 'hi', 'index': 15}, {'key': 'दबिश', 'value': 'hi', 'index': 16}, {'key': 'देकर', 'value': 'hi', 'index': 17}, {'key': 'दस', 'value': 'hi', 'index': 18}, {'key': 'क्विंटल', 'value': 'hi', 'index': 19}, {'key': 'महुआ', 'value': 'hi', 'index': 20}, {'key': 'लहान', 'value': 'hi', 'index': 21}, {'key': 'जब्त', 'value': 'hi', 'index': 22}, {'key': 'किया', 'value': 'hi', 'index': 23}, {'key': 'है।', 'value': 'hi', 'index': 24}]"
"वहीं, सनराइजर्स में उनके साथ खेलने वाले राशिद खान (Rashid Khan) ने कमेंट किया, 'डेविड वॉर्नर इसका मतलब क्‍या होता है।","[{'key': 'वहीं,', 'value': 'hi', 'index': 0}, {'key': 'सनराइजर्स', 'value': 'hi', 'index': 1}, {'key': 'में', 'value': 'hi', 'index': 2}, {'key': 'उनके', 'value': 'hi', 'index': 3}, {'key': 'साथ', 'value': 'hi', 'index': 4}, {'key': 'खेलने', 'value': 'hi', 'index': 5}, {'key': 'वाले', 'value': 'hi', 'index': 6}, {'key': 'राशिद', 'value': 'hi', 'index': 7}, {'key': 'खान', 'value': 'hi', 'index': 8}, {'key': '(Rashid', 'value': 'en', 'index': 9}, {'key': 'Khan)', 'value': 'en', 'index': 10}, {'key': 'ने', 'value': 'hi', 'index': 11}, {'key': 'कमेंट', 'value': 'hi', 'index': 12}, {'key': 'किया,', 'value': 'hi', 'index': 13}, {'key': ""'डेविड"", 'value': 'hi', 'index': 14}, {'key': 'वॉर्नर', 'value': 'hi', 'index': 15}, {'key': 'इसका', 'value': 'hi', 'index': 16}, {'key': 'मतलब', 'value': 'hi', 'index': 17}, {'key': 'क्\u200dया', 'value': 'hi', 'index': 18}, {'key': 'होता', 'value': 'hi', 'index': 19}, {'key': 'है।', 'value': 'hi', 'index': 20}]"
भारतीय क्रिकेटर मनोज तिवारी (Manoj Tiwary) को वेस्ट बंगाल सरकार में खेल और युवा राज्य मंत्री का प्रभार दिया गया है।,"[{'key': 'भारतीय', 'value': 'hi', 'index': 0}, {'key': 'क्रिकेटर', 'value': 'hi', 'index': 1}, {'key': 'मनोज', 'value': 'hi', 'index': 2}, {'key': 'तिवारी', 'value': 'hi', 'index': 3}, {'key': '(Manoj', 'value': 'en', 'index': 4}, {'key': 'Tiwary)', 'value': 'en', 'index': 5}, {'key': 'को', 'value': 'hi', 'index': 6}, {'key': 'वेस्ट', 'value': 'hi', 'index': 7}, {'key': 'बंगाल', 'value': 'hi', 'index': 8}, {'key': 'सरकार', 'value': 'hi', 'index': 9}, {'key': 'में', 'value': 'hi', 'index': 10}, {'key': 'खेल', 'value': 'hi', 'index': 11}, {'key': 'और', 'value': 'hi', 'index': 12}, {'key': 'युवा', 'value': 'hi', 'index': 13}, {'key': 'राज्य', 'value': 'hi', 'index': 14}, {'key': 'मंत्री', 'value': 'hi', 'index': 15}, {'key': 'का', 'value': 'hi', 'index': 16}, {'key': 'प्रभार', 'value': 'hi', 'index': 17}, {'key': 'दिया', 'value': 'hi', 'index': 18}, {'key': 'गया', 'value': 'hi', 'index': 19}, {'key': 'है।', 'value': 'hi', 'index': 20}]"
सुरेश रैना (Suresh Raina) ने नाबाद अर्धशतक जड़ा और दिनेश कार्तिक (Dinesh Karthik) ने अपनी टीम के लिए तेज पारी खेली।,"[{'key': 'सुरेश', 'value': 'hi', 'index': 0}, {'key': 'रैना', 'value': 'hi', 'index': 1}, {'key': '(Suresh', 'value': 'en', 'index': 2}, {'key': 'Raina)', 'value': 'en', 'index': 3}, {'key': 'ने', 'value': 'hi', 'index': 4}, {'key': 'नाबाद', 'value': 'hi', 'index': 5}, {'key': 'अर्धशतक', 'value': 'hi', 'index': 6}, {'key': 'जड़ा', 'value': 'hi', 'index': 7}, {'key': 'और', 'value': 'hi', 'index': 8}, {'key': 'दिनेश', 'value': 'hi', 'index': 9}, {'key': 'कार्तिक', 'value': 'hi', 'index': 10}, {'key': '(Dinesh', 'value': 'en', 'index': 11}, {'key': 'Karthik)', 'value': 'en', 'index': 12}, {'key': 'ने', 'value': 'hi', 'index': 13}, {'key': 'अपनी', 'value': 'hi', 'index': 14}, {'key': 'टीम', 'value': 'hi', 'index': 15}, {'key': 'के', 'value': 'hi', 'index': 16}, {'key': 'लिए', 'value': 'hi', 'index': 17}, {'key': 'तेज', 'value': 'hi', 'index': 18}, {'key': 'पारी', 'value': 'hi', 'index': 19}, {'key': 'खेली।', 'value': 'hi', 'index': 20}]"
राजस्थान रॉयल्स (RR) बनाम दिल्ली कैपिटल्स (DC) के बीच इंडियन प्रीमियर लीग (आईपीएल) 2019 का 40वां मैच किस टीवी चैनल पर देख सकेंगे?,"[{'key': 'राजस्थान', 'value': 'hi', 'index': 0}, {'key': 'रॉयल्स', 'value': 'hi', 'index': 1}, {'key': '(RR)', 'value': 'en', 'index': 2}, {'key': 'बनाम', 'value': 'hi', 'index': 3}, {'key': 'दिल्ली', 'value': 'hi', 'index': 4}, {'key': 'कैपिटल्स', 'value': 'hi', 'index': 5}, {'key': '(DC)', 'value': 'en', 'index': 6}, {'key': 'के', 'value': 'hi', 'index': 7}, {'key': 'बीच', 'value': 'hi', 'index': 8}, {'key': 'इंडियन', 'value': 'hi', 'index': 9}, {'key': 'प्रीमियर', 'value': 'hi', 'index': 10}, {'key': 'लीग', 'value': 'hi', 'index': 11}, {'key': '(आईपीएल)', 'value': 'hi', 'index': 12}, {'key': '2019', 'value': 'un', 'index': 13}, {'key': 'का', 'value': 'hi', 'index': 14}, {'key': '40वां', 'value': 'un', 'index': 15}, {'key': 'मैच', 'value': 'hi', 'index': 16}, {'key': 'किस', 'value': 'hi', 'index': 17}, {'key': 'टीवी', 'value': 'hi', 'index': 18}, {'key': 'चैनल', 'value': 'hi', 'index': 19}, {'key': 'पर', 'value': 'hi', 'index': 20}, {'key': 'देख', 'value': 'hi', 'index': 21}, {'key': 'सकेंगे?', 'value': 'hi', 'index': 22}]"
Bihar Chunav: बिहार विधानसभा की दो सीटों तारापुर और कुशेश्वरस्थान के उपचुनाव में मतदान का दिन नजदीक आ रहा है।,"[{'key': 'Bihar', 'value': 'en', 'index': 0}, {'key': 'Chunav', 'value': 'hi', 'index': 1}, {'key': ':', 'value': 'un', 'index': 2}, {'key': 'बिहार', 'value': 'hi', 'index': 3}, {'key': 'विधानसभा', 'value': 'hi', 'index': 4}, {'key': 'की', 'value': 'hi', 'index': 5}, {'key': 'दो', 'value': 'hi', 'index': 6}, {'key': 'सीटों', 'value': 'hi', 'index': 7}, {'key': 'तारापुर', 'value': 'hi', 'index': 8}, {'key': 'और', 'value': 'hi', 'index': 9}, {'key': 'कुशेश्वरस्थान', 'value': 'hi', 'index': 10}, {'key': 'के', 'value': 'hi', 'index': 11}, {'key': 'उपचुनाव', 'value': 'hi', 'index': 12}, {'key': 'में', 'value': 'hi', 'index': 13}, {'key': 'मतदान', 'value': 'hi', 'index': 14}, {'key': 'का', 'value': 'hi', 'index': 15}, {'key': 'दिन', 'value': 'hi', 'index': 16}, {'key': 'नजदीक', 'value': 'hi', 'index': 17}, {'key': 'आ', 'value': 'hi', 'index': 18}, {'key': 'रहा', 'value': 'hi', 'index': 19}, {'key': 'है।', 'value': 'hi', 'index': 20}]"
एसटीएफ से सही जांच की उम्मीद नहींमशहूर मैगजीन ‘द क्रिकेटर’ (The Cricketer) ने विराट कोहली (Virat Kohli) को इस दशक का सर्वश्रेष्ठ क्रिकेटर चुना है।,"[{'key': 'एसटीएफ', 'value': 'en', 'index': 0}, {'key': 'से', 'value': 'hi', 'index': 1}, {'key': 'सही', 'value': 'hi', 'index': 2}, {'key': 'जांच', 'value': 'hi', 'index': 3}, {'key': 'की', 'value': 'hi', 'index': 4}, {'key': 'उम्मीद', 'value': 'hi', 'index': 5}, {'key': 'नहींमशहूर', 'value': 'hi', 'index': 6}, {'key': 'मैगजीन', 'value': 'en', 'index': 7}, {'key': '‘द', 'value': 'en', 'index': 8}, {'key': 'क्रिकेटर’', 'value': 'en', 'index': 9}, {'key': '(The', 'value': 'en', 'index': 10}, {'key': 'Cricketer)', 'value': 'en', 'index': 11}, {'key': 'ने', 'value': 'hi', 'index': 12}, {'key': 'विराट', 'value': 'hi', 'index': 13}, {'key': 'कोहली', 'value': 'hi', 'index': 14}, {'key': '(Virat', 'value': 'en', 'index': 15}, {'key': 'Kohli)', 'value': 'en', 'index': 16}, {'key': 'को', 'value': 'hi', 'index': 17}, {'key': 'इस', 'value': 'hi', 'index': 18}, {'key': 'दशक', 'value': 'hi', 'index': 19}, {'key': 'का', 'value': 'hi', 'index': 20}, {'key': 'सर्वश्रेष्ठ', 'value': 'hi', 'index': 21}, {'key': 'क्रिकेटर', 'value': 'hi', 'index': 22}, {'key': 'चुना', 'value': 'hi', 'index': 23}, {'key': 'है।', 'value': 'hi', 'index': 24}]"
