Sentence,Tags
"#DhoniKeepsTheGlove | WATCH: Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge', tells BCCI to take up the matter with ICC and keep government in the know as nation's pride is involved    https://t.co/zuo5335Rjr","[{""key"": ""#"", ""value"": ""en"", ""index"": 0}, {""key"": ""DhoniKeepsTheGlove"", ""value"": ""en"", ""index"": 1}, {""key"": ""|"", ""value"": ""en"", ""index"": 2}, {""key"": ""WATCH"", ""value"": ""en"", ""index"": 3}, {""key"": "":"", ""value"": ""en"", ""index"": 4}, {""key"": ""Sports"", ""value"": ""en"", ""index"": 5}, {""key"": ""Minister"", ""value"": ""en"", ""index"": 6}, {""key"": ""Kiren"", ""value"": ""en"", ""index"": 7}, {""key"": ""Rijiju"", ""value"": ""en"", ""index"": 8}, {""key"": ""issues"", ""value"": ""en"", ""index"": 9}, {""key"": ""statement"", ""value"": ""en"", ""index"": 10}, {""key"": ""backing"", ""value"": ""en"", ""index"": 11}, {""key"": ""MS"", ""value"": ""en"", ""index"": 12}, {""key"": ""Dhoni"", ""value"": ""en"", ""index"": 13}, {""key"": ""over"", ""value"": ""en"", ""index"": 14}, {""key"": ""'"", ""value"": ""en"", ""index"": 15}, {""key"": ""Balidaan"", ""value"": ""en"", ""index"": 16}, {""key"": ""Badge"", ""value"": ""en"", ""index"": 17}, {""key"": ""'"", ""value"": ""en"", ""index"": 18}, {""key"": "","", ""value"": ""en"", ""index"": 19}, {""key"": ""tells"", ""value"": ""en"", ""index"": 20}, {""key"": ""BCCI"", ""value"": ""en"", ""index"": 21}, {""key"": ""to"", ""value"": ""en"", ""index"": 22}, {""key"": ""take"", ""value"": ""en"", ""index"": 23}, {""key"": ""up"", ""value"": ""en"", ""index"": 24}, {""key"": ""the"", ""value"": ""en"", ""index"": 25}, {""key"": ""matter"", ""value"": ""en"", ""index"": 26}, {""key"": ""with"", ""value"": ""en"", ""index"": 27}, {""key"": ""ICC"", ""value"": ""en"", ""index"": 28}, {""key"": ""and"", ""value"": ""en"", ""index"": 29}, {""key"": ""keep"", ""value"": ""en"", ""index"": 30}, {""key"": ""government"", ""value"": ""en"", ""index"": 31}, {""key"": ""in"", ""value"": ""en"", ""index"": 32}, {""key"": ""the"", ""value"": ""en"", ""index"": 33}, {""key"": ""know"", ""value"": ""en"", ""index"": 34}, {""key"": ""as"", ""value"": ""en"", ""index"": 35}, {""key"": ""nation"", ""value"": ""en"", ""index"": 36}, {""key"": ""'"", ""value"": ""en"", ""index"": 37}, {""key"": ""s"", ""value"": ""en"", ""index"": 38}, {""key"": ""pride"", ""value"": ""en"", ""index"": 39}, {""key"": ""is"", ""value"": ""en"", ""index"": 40}, {""key"": ""involved"", ""value"": ""en"", ""index"": 41}, {""key"": ""https"", ""value"": ""en"", ""index"": 42}, {""key"": ""://t.co/zuo5335Rjr"", ""value"": ""en"", ""index"": 43}]"
@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,"[{""key"": ""@"", ""value"": ""en"", ""index"": 0}, {""key"": ""politico"", ""value"": ""en"", ""index"": 1}, {""key"": ""No"", ""value"": ""en"", ""index"": 2}, {""key"": ""."", ""value"": ""en"", ""index"": 3}, {""key"": ""We"", ""value"": ""en"", ""index"": 4}, {""key"": ""should"", ""value"": ""en"", ""index"": 5}, {""key"": ""remember"", ""value"": ""en"", ""index"": 6}, {""key"": ""very"", ""value"": ""en"", ""index"": 7}, {""key"": ""clearly"", ""value"": ""en"", ""index"": 8}, {""key"": ""that"", ""value"": ""en"", ""index"": 9}, {""key"": ""#"", ""value"": ""en"", ""index"": 10}, {""key"": ""Individual1"", ""value"": ""en"", ""index"": 11}, {""key"": ""just"", ""value"": ""en"", ""index"": 12}, {""key"": ""admitted"", ""value"": ""en"", ""index"": 13}, {""key"": ""to"", ""value"": ""en"", ""index"": 14}, {""key"": ""treason"", ""value"": ""en"", ""index"": 15}, {""key"": ""."", ""value"": ""en"", ""index"": 16}, {""key"": ""#"", ""value"": ""en"", ""index"": 17}, {""key"": ""TrumpIsATraitor"", ""value"": ""en"", ""index"": 18}, {""key"": ""#"", ""value"": ""en"", ""index"": 19}, {""key"": ""McCainsAHero"", ""value"": ""en"", ""index"": 20}, {""key"": ""#"", ""value"": ""en"", ""index"": 21}, {""key"": ""JohnMcCainDay"", ""value"": ""en"", ""index"": 22}]"
@cricketworldcup Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @ICC,"[{""key"": ""@"", ""value"": ""en"", ""index"": 0}, {""key"": ""cricketworldcup"", ""value"": ""en"", ""index"": 1}, {""key"": ""Guess"", ""value"": ""en"", ""index"": 2}, {""key"": ""who"", ""value"": ""en"", ""index"": 3}, {""key"": ""would"", ""value"": ""en"", ""index"": 4}, {""key"": ""be"", ""value"": ""en"", ""index"": 5}, {""key"": ""the"", ""value"": ""en"", ""index"": 6}, {""key"": ""winner"", ""value"": ""en"", ""index"": 7}, {""key"": ""of"", ""value"": ""en"", ""index"": 8}, {""key"": ""this"", ""value"": ""en"", ""index"": 9}, {""key"": ""#"", ""value"": ""en"", ""index"": 10}, {""key"": ""CWC19"", ""value"": ""en"", ""index"": 11}, {""key"": ""?"", ""value"": ""en"", ""index"": 12}, {""key"": ""Team"", ""value"": ""en"", ""index"": 13}, {""key"": ""who"", ""value"": ""en"", ""index"": 14}, {""key"": ""gets"", ""value"": ""en"", ""index"": 15}, {""key"": ""maximum"", ""value"": ""en"", ""index"": 16}, {""key"": ""points"", ""value"": ""en"", ""index"": 17}, {""key"": ""from"", ""value"": ""en"", ""index"": 18}, {""key"": ""the"", ""value"": ""en"", ""index"": 19}, {""key"": ""abandoned"", ""value"": ""en"", ""index"": 20}, {""key"": ""matches"", ""value"": ""en"", ""index"": 21}, {""key"": ""\ud83d\ude04"", ""value"": ""en"", ""index"": 22}, {""key"": ""#"", ""value"": ""en"", ""index"": 23}, {""key"": ""ShameOnICC"", ""value"": ""en"", ""index"": 24}, {""key"": ""#"", ""value"": ""en"", ""index"": 25}, {""key"": ""WIvsENG"", ""value"": ""en"", ""index"": 26}, {""key"": ""@"", ""value"": ""en"", ""index"": 27}, {""key"": ""ICC"", ""value"": ""en"", ""index"": 28}]"
Corbyn is too politically intellectual for #BorisJohnsonShouldNotBePM   Can't wait   #GeneralElectionNow https://t.co/pt8KmjfxJj,"[{""key"": ""Corbyn"", ""value"": ""en"", ""index"": 0}, {""key"": ""is"", ""value"": ""en"", ""index"": 1}, {""key"": ""too"", ""value"": ""en"", ""index"": 2}, {""key"": ""politically"", ""value"": ""en"", ""index"": 3}, {""key"": ""intellectual"", ""value"": ""en"", ""index"": 4}, {""key"": ""for"", ""value"": ""en"", ""index"": 5}, {""key"": ""#"", ""value"": ""en"", ""index"": 6}, {""key"": ""BorisJohnsonShouldNotBePM"", ""value"": ""en"", ""index"": 7}, {""key"": ""Can"", ""value"": ""en"", ""index"": 8}, {""key"": ""'"", ""value"": ""en"", ""index"": 9}, {""key"": ""t"", ""value"": ""en"", ""index"": 10}, {""key"": ""wait"", ""value"": ""en"", ""index"": 11}, {""key"": ""#"", ""value"": ""en"", ""index"": 12}, {""key"": ""GeneralElectionNow"", ""value"": ""en"", ""index"": 13}, {""key"": ""https"", ""value"": ""en"", ""index"": 14}, {""key"": ""://t.co/pt8KmjfxJj"", ""value"": ""en"", ""index"": 15}]"
All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/MG2cIE0zib,"[{""key"": ""All"", ""value"": ""en"", ""index"": 0}, {""key"": ""the"", ""value"": ""en"", ""index"": 1}, {""key"": ""best"", ""value"": ""en"", ""index"": 2}, {""key"": ""to"", ""value"": ""en"", ""index"": 3}, {""key"": ""#"", ""value"": ""en"", ""index"": 4}, {""key"": ""TeamIndia"", ""value"": ""en"", ""index"": 5}, {""key"": ""for"", ""value"": ""en"", ""index"": 6}, {""key"": ""another"", ""value"": ""en"", ""index"": 7}, {""key"": ""swimming"", ""value"": ""en"", ""index"": 8}, {""key"": ""competition"", ""value"": ""en"", ""index"": 9}, {""key"": ""on"", ""value"": ""en"", ""index"": 10}, {""key"": ""Sunday"", ""value"": ""en"", ""index"": 11}, {""key"": ""against"", ""value"": ""en"", ""index"": 12}, {""key"": ""#"", ""value"": ""en"", ""index"": 13}, {""key"": ""Pakistan"", ""value"": ""en"", ""index"": 14}, {""key"": ""."", ""value"": ""en"", ""index"": 15}, {""key"": ""#"", ""value"": ""en"", ""index"": 16}, {""key"": ""INDvPAK"", ""value"": ""en"", ""index"": 17}, {""key"": ""#"", ""value"": ""en"", ""index"": 18}, {""key"": ""ShameOnICC"", ""value"": ""en"", ""index"": 19}, {""key"": ""#"", ""value"": ""en"", ""index"": 20}, {""key"": ""CWC19"", ""value"": ""en"", ""index"": 21}, {""key"": ""#"", ""value"": ""en"", ""index"": 22}, {""key"": ""CWC19Rains"", ""value"": ""en"", ""index"": 23}, {""key"": ""\u2614\u2614"", ""value"": ""en"", ""index"": 24}, {""key"": ""https"", ""value"": ""en"", ""index"": 25}, {""key"": ""://t.co/MG2cIE0zib"", ""value"": ""en"", ""index"": 26}]"
"@kellymiller513 @TheRealOJ32 I hope you remembered to wipe the blood off of you, after the pic was taken.  #bloodonhishands #murderer","[{""key"": ""@"", ""value"": ""en"", ""index"": 0}, {""key"": ""kellymiller513"", ""value"": ""en"", ""index"": 1}, {""key"": ""@"", ""value"": ""en"", ""index"": 2}, {""key"": ""TheRealOJ32"", ""value"": ""en"", ""index"": 3}, {""key"": ""I"", ""value"": ""en"", ""index"": 4}, {""key"": ""hope"", ""value"": ""en"", ""index"": 5}, {""key"": ""you"", ""value"": ""en"", ""index"": 6}, {""key"": ""remembered"", ""value"": ""en"", ""index"": 7}, {""key"": ""to"", ""value"": ""en"", ""index"": 8}, {""key"": ""wipe"", ""value"": ""en"", ""index"": 9}, {""key"": ""the"", ""value"": ""en"", ""index"": 10}, {""key"": ""blood"", ""value"": ""en"", ""index"": 11}, {""key"": ""off"", ""value"": ""en"", ""index"": 12}, {""key"": ""of"", ""value"": ""en"", ""index"": 13}, {""key"": ""you"", ""value"": ""en"", ""index"": 14}, {""key"": "","", ""value"": ""en"", ""index"": 15}, {""key"": ""after"", ""value"": ""en"", ""index"": 16}, {""key"": ""the"", ""value"": ""en"", ""index"": 17}, {""key"": ""pic"", ""value"": ""en"", ""index"": 18}, {""key"": ""was"", ""value"": ""en"", ""index"": 19}, {""key"": ""taken"", ""value"": ""en"", ""index"": 20}, {""key"": ""."", ""value"": ""en"", ""index"": 21}, {""key"": ""#"", ""value"": ""en"", ""index"": 22}, {""key"": ""bloodonhishands"", ""value"": ""en"", ""index"": 23}, {""key"": ""#"", ""value"": ""en"", ""index"": 24}, {""key"": ""murderer"", ""value"": ""en"", ""index"": 25}]"
@ICC Latest design of #WC2019 trophy. #CWC2019 #CWC19 #ShameOnICC https://t.co/g3mRuphBzE,"[{""key"": ""@"", ""value"": ""en"", ""index"": 0}, {""key"": ""ICC"", ""value"": ""en"", ""index"": 1}, {""key"": ""Latest"", ""value"": ""en"", ""index"": 2}, {""key"": ""design"", ""value"": ""en"", ""index"": 3}, {""key"": ""of"", ""value"": ""en"", ""index"": 4}, {""key"": ""#"", ""value"": ""en"", ""index"": 5}, {""key"": ""WC2019"", ""value"": ""en"", ""index"": 6}, {""key"": ""trophy"", ""value"": ""en"", ""index"": 7}, {""key"": ""."", ""value"": ""en"", ""index"": 8}, {""key"": ""#"", ""value"": ""en"", ""index"": 9}, {""key"": ""CWC2019"", ""value"": ""en"", ""index"": 10}, {""key"": ""#"", ""value"": ""en"", ""index"": 11}, {""key"": ""CWC19"", ""value"": ""en"", ""index"": 12}, {""key"": ""#"", ""value"": ""en"", ""index"": 13}, {""key"": ""ShameOnICC"", ""value"": ""en"", ""index"": 14}, {""key"": ""https"", ""value"": ""en"", ""index"": 15}, {""key"": ""://t.co/g3mRuphBzE"", ""value"": ""en"", ""index"": 16}]"
#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School https://t.co/7S1Lu7wi53,"[{""key"": ""#"", ""value"": ""en"", ""index"": 0}, {""key"": ""ADOS"", ""value"": ""en"", ""index"": 1}, {""key"": ""#"", ""value"": ""en"", ""index"": 2}, {""key"": ""trendingnow"", ""value"": ""en"", ""index"": 3}, {""key"": ""#"", ""value"": ""en"", ""index"": 4}, {""key"": ""blacklivesmatter"", ""value"": ""en"", ""index"": 5}, {""key"": ""#"", ""value"": ""en"", ""index"": 6}, {""key"": ""justice"", ""value"": ""en"", ""index"": 7}, {""key"": ""#"", ""value"": ""en"", ""index"": 8}, {""key"": ""fucktrump"", ""value"": ""en"", ""index"": 9}, {""key"": ""\u2018Central"", ""value"": ""en"", ""index"": 10}, {""key"": ""Park"", ""value"": ""en"", ""index"": 11}, {""key"": ""Five"", ""value"": ""en"", ""index"": 12}, {""key"": ""\u2019"", ""value"": ""en"", ""index"": 13}, {""key"": ""Prosecutor"", ""value"": ""en"", ""index"": 14}, {""key"": ""Elizabeth"", ""value"": ""en"", ""index"": 15}, {""key"": ""Lederer"", ""value"": ""en"", ""index"": 16}, {""key"": ""Out"", ""value"": ""en"", ""index"": 17}, {""key"": ""at"", ""value"": ""en"", ""index"": 18}, {""key"": ""Columbia"", ""value"": ""en"", ""index"": 19}, {""key"": ""Law"", ""value"": ""en"", ""index"": 20}, {""key"": ""School"", ""value"": ""en"", ""index"": 21}, {""key"": ""https"", ""value"": ""en"", ""index"": 22}, {""key"": ""://t.co/7S1Lu7wi53"", ""value"": ""en"", ""index"": 23}]"
"Thanks for your support! Wow 600k. Graffiti has a massive impact nowadays, do not forget to show your own opinion!     #AllColorsAreBeautiful   #PowerToThePeople  #FuckRacism   #FuckTrump   #MakeLoveNotWar… https://t.co/4hc5UiDgLj","[{""key"": ""Thanks"", ""value"": ""en"", ""index"": 0}, {""key"": ""for"", ""value"": ""en"", ""index"": 1}, {""key"": ""your"", ""value"": ""en"", ""index"": 2}, {""key"": ""support"", ""value"": ""en"", ""index"": 3}, {""key"": ""!"", ""value"": ""en"", ""index"": 4}, {""key"": ""Wow"", ""value"": ""en"", ""index"": 5}, {""key"": ""600k"", ""value"": ""en"", ""index"": 6}, {""key"": ""."", ""value"": ""en"", ""index"": 7}, {""key"": ""Graffiti"", ""value"": ""en"", ""index"": 8}, {""key"": ""has"", ""value"": ""en"", ""index"": 9}, {""key"": ""a"", ""value"": ""en"", ""index"": 10}, {""key"": ""massive"", ""value"": ""en"", ""index"": 11}, {""key"": ""impact"", ""value"": ""en"", ""index"": 12}, {""key"": ""nowadays"", ""value"": ""en"", ""index"": 13}, {""key"": "","", ""value"": ""en"", ""index"": 14}, {""key"": ""do"", ""value"": ""en"", ""index"": 15}, {""key"": ""not"", ""value"": ""en"", ""index"": 16}, {""key"": ""forget"", ""value"": ""en"", ""index"": 17}, {""key"": ""to"", ""value"": ""en"", ""index"": 18}, {""key"": ""show"", ""value"": ""en"", ""index"": 19}, {""key"": ""your"", ""value"": ""en"", ""index"": 20}, {""key"": ""own"", ""value"": ""en"", ""index"": 21}, {""key"": ""opinion"", ""value"": ""en"", ""index"": 22}, {""key"": ""!"", ""value"": ""en"", ""index"": 23}, {""key"": ""#"", ""value"": ""en"", ""index"": 24}, {""key"": ""AllColorsAreBeautiful"", ""value"": ""en"", ""index"": 25}, {""key"": ""#"", ""value"": ""en"", ""index"": 26}, {""key"": ""PowerToThePeople"", ""value"": ""en"", ""index"": 27}, {""key"": ""#"", ""value"": ""en"", ""index"": 28}, {""key"": ""FuckRacism"", ""value"": ""en"", ""index"": 29}, {""key"": ""#"", ""value"": ""en"", ""index"": 30}, {""key"": ""FuckTrump"", ""value"": ""en"", ""index"": 31}, {""key"": ""#"", ""value"": ""en"", ""index"": 32}, {""key"": ""MakeLoveNotWar"", ""value"": ""en"", ""index"": 33}, {""key"": ""\u2026"", ""value"": ""en"", ""index"": 34}, {""key"": ""https"", ""value"": ""en"", ""index"": 35}, {""key"": ""://t.co/4hc5UiDgLj"", ""value"": ""en"", ""index"": 36}]"
By wearing the #BalidaanBadge over his gloves @msdhoni has shown his love &amp; respect for the forces.     @icc should understand that this is not related to any political/religious/racial activities    This is about our #NationalPride    #DhoniKeepsTheGlove,"[{""key"": ""By"", ""value"": ""en"", ""index"": 0}, {""key"": ""wearing"", ""value"": ""en"", ""index"": 1}, {""key"": ""the"", ""value"": ""en"", ""index"": 2}, {""key"": ""#"", ""value"": ""en"", ""index"": 3}, {""key"": ""BalidaanBadge"", ""value"": ""en"", ""index"": 4}, {""key"": ""over"", ""value"": ""en"", ""index"": 5}, {""key"": ""his"", ""value"": ""en"", ""index"": 6}, {""key"": ""gloves"", ""value"": ""en"", ""index"": 7}, {""key"": ""@"", ""value"": ""en"", ""index"": 8}, {""key"": ""msdhoni"", ""value"": ""en"", ""index"": 9}, {""key"": ""has"", ""value"": ""en"", ""index"": 10}, {""key"": ""shown"", ""value"": ""en"", ""index"": 11}, {""key"": ""his"", ""value"": ""en"", ""index"": 12}, {""key"": ""love"", ""value"": ""en"", ""index"": 13}, {""key"": ""&"", ""value"": ""en"", ""index"": 14}, {""key"": ""amp"", ""value"": ""en"", ""index"": 15}, {""key"": "";"", ""value"": ""en"", ""index"": 16}, {""key"": ""respect"", ""value"": ""en"", ""index"": 17}, {""key"": ""for"", ""value"": ""en"", ""index"": 18}, {""key"": ""the"", ""value"": ""en"", ""index"": 19}, {""key"": ""forces"", ""value"": ""en"", ""index"": 20}, {""key"": ""."", ""value"": ""en"", ""index"": 21}, {""key"": ""@"", ""value"": ""en"", ""index"": 22}, {""key"": ""icc"", ""value"": ""en"", ""index"": 23}, {""key"": ""should"", ""value"": ""en"", ""index"": 24}, {""key"": ""understand"", ""value"": ""en"", ""index"": 25}, {""key"": ""that"", ""value"": ""en"", ""index"": 26}, {""key"": ""this"", ""value"": ""en"", ""index"": 27}, {""key"": ""is"", ""value"": ""en"", ""index"": 28}, {""key"": ""not"", ""value"": ""en"", ""index"": 29}, {""key"": ""related"", ""value"": ""en"", ""index"": 30}, {""key"": ""to"", ""value"": ""en"", ""index"": 31}, {""key"": ""any"", ""value"": ""en"", ""index"": 32}, {""key"": ""political"", ""value"": ""en"", ""index"": 33}, {""key"": ""/religious/racial"", ""value"": ""en"", ""index"": 34}, {""key"": ""activities"", ""value"": ""en"", ""index"": 35}, {""key"": ""This"", ""value"": ""en"", ""index"": 36}, {""key"": ""is"", ""value"": ""en"", ""index"": 37}, {""key"": ""about"", ""value"": ""en"", ""index"": 38}, {""key"": ""our"", ""value"": ""en"", ""index"": 39}, {""key"": ""#"", ""value"": ""en"", ""index"": 40}, {""key"": ""NationalPride"", ""value"": ""en"", ""index"": 41}, {""key"": ""#"", ""value"": ""en"", ""index"": 42}, {""key"": ""DhoniKeepsTheGlove"", ""value"": ""en"", ""index"": 43}]"
