Sentence,Tags
Good vibe tribe .,"[{""key"": ""Good"", ""value"": ""eng"", ""index"": 0}, {""key"": ""vibe"", ""value"": ""eng"", ""index"": 1}, {""key"": ""tribe"", ""value"": ""eng"", ""index"": 2}, {""key"": ""."", ""value"": ""un"", ""index"": 3}]"
beware #pmjohnkey .. . maintain distance from #Modi .. . modi is a natural deception master an a thug .. . he will loot #NewZealand,"[{""key"": ""beware"", ""value"": ""eng"", ""index"": 0}, {""key"": ""#pmjohnkey"", ""value"": ""un"", ""index"": 1}, {""key"": "".."", ""value"": ""un"", ""index"": 2}, {""key"": ""."", ""value"": ""un"", ""index"": 3}, {""key"": ""maintain"", ""value"": ""eng"", ""index"": 4}, {""key"": ""distance"", ""value"": ""eng"", ""index"": 5}, {""key"": ""from"", ""value"": ""eng"", ""index"": 6}, {""key"": ""#Modi"", ""value"": ""un"", ""index"": 7}, {""key"": "".."", ""value"": ""un"", ""index"": 8}, {""key"": ""."", ""value"": ""un"", ""index"": 9}, {""key"": ""modi"", ""value"": ""un"", ""index"": 10}, {""key"": ""is"", ""value"": ""eng"", ""index"": 11}, {""key"": ""a"", ""value"": ""eng"", ""index"": 12}, {""key"": ""natural"", ""value"": ""eng"", ""index"": 13}, {""key"": ""deception"", ""value"": ""eng"", ""index"": 14}, {""key"": ""master"", ""value"": ""eng"", ""index"": 15}, {""key"": ""an"", ""value"": ""eng"", ""index"": 16}, {""key"": ""a"", ""value"": ""eng"", ""index"": 17}, {""key"": ""thug"", ""value"": ""eng"", ""index"": 18}, {""key"": "".."", ""value"": ""un"", ""index"": 19}, {""key"": ""."", ""value"": ""un"", ""index"": 20}, {""key"": ""he"", ""value"": ""eng"", ""index"": 21}, {""key"": ""will"", ""value"": ""eng"", ""index"": 22}, {""key"": ""loot"", ""value"": ""eng"", ""index"": 23}, {""key"": ""#NewZealand"", ""value"": ""un"", ""index"": 24}]"
Angry young men sir ji,"[{""key"": ""Angry"", ""value"": ""eng"", ""index"": 0}, {""key"": ""young"", ""value"": ""eng"", ""index"": 1}, {""key"": ""men"", ""value"": ""eng"", ""index"": 2}, {""key"": ""sir"", ""value"": ""eng"", ""index"": 3}, {""key"": ""ji"", ""value"": ""hi"", ""index"": 4}]"
Girlfriend 's Guide To Divorce is the best replacement for SATCH binge watching .,"[{""key"": ""Girlfriend"", ""value"": ""eng"", ""index"": 0}, {""key"": ""'s"", ""value"": ""eng"", ""index"": 1}, {""key"": ""Guide"", ""value"": ""eng"", ""index"": 2}, {""key"": ""To"", ""value"": ""eng"", ""index"": 3}, {""key"": ""Divorce"", ""value"": ""eng"", ""index"": 4}, {""key"": ""is"", ""value"": ""eng"", ""index"": 5}, {""key"": ""the"", ""value"": ""eng"", ""index"": 6}, {""key"": ""best"", ""value"": ""eng"", ""index"": 7}, {""key"": ""replacement"", ""value"": ""eng"", ""index"": 8}, {""key"": ""for"", ""value"": ""eng"", ""index"": 9}, {""key"": ""SATCH"", ""value"": ""eng"", ""index"": 10}, {""key"": ""binge"", ""value"": ""eng"", ""index"": 11}, {""key"": ""watching"", ""value"": ""eng"", ""index"": 12}, {""key"": ""."", ""value"": ""un"", ""index"": 13}]"
"Ajay thakur , woww this is why kabaddi is gaining more popularity than cricket these days . 40 minutes of thrilling sensation & India are world champions .","[{""key"": ""Ajay"", ""value"": ""un"", ""index"": 0}, {""key"": ""thakur"", ""value"": ""un"", ""index"": 1}, {""key"": "","", ""value"": ""un"", ""index"": 2}, {""key"": ""woww"", ""value"": ""eng"", ""index"": 3}, {""key"": ""this"", ""value"": ""eng"", ""index"": 4}, {""key"": ""is"", ""value"": ""eng"", ""index"": 5}, {""key"": ""why"", ""value"": ""eng"", ""index"": 6}, {""key"": ""kabaddi"", ""value"": ""hi"", ""index"": 7}, {""key"": ""is"", ""value"": ""eng"", ""index"": 8}, {""key"": ""gaining"", ""value"": ""eng"", ""index"": 9}, {""key"": ""more"", ""value"": ""eng"", ""index"": 10}, {""key"": ""popularity"", ""value"": ""eng"", ""index"": 11}, {""key"": ""than"", ""value"": ""eng"", ""index"": 12}, {""key"": ""cricket"", ""value"": ""eng"", ""index"": 13}, {""key"": ""these"", ""value"": ""eng"", ""index"": 14}, {""key"": ""days"", ""value"": ""eng"", ""index"": 15}, {""key"": ""."", ""value"": ""un"", ""index"": 16}, {""key"": ""40"", ""value"": ""un"", ""index"": 17}, {""key"": ""minutes"", ""value"": ""eng"", ""index"": 18}, {""key"": ""of"", ""value"": ""eng"", ""index"": 19}, {""key"": ""thrilling"", ""value"": ""eng"", ""index"": 20}, {""key"": ""sensation"", ""value"": ""eng"", ""index"": 21}, {""key"": ""&"", ""value"": ""eng"", ""index"": 22}, {""key"": ""India"", ""value"": ""un"", ""index"": 23}, {""key"": ""are"", ""value"": ""eng"", ""index"": 24}, {""key"": ""world"", ""value"": ""eng"", ""index"": 25}, {""key"": ""champions"", ""value"": ""eng"", ""index"": 26}, {""key"": ""."", ""value"": ""un"", ""index"": 27}]"
Virat so nice player yar what fielding nd batting also keep up virat,"[{""key"": ""Virat"", ""value"": ""un"", ""index"": 0}, {""key"": ""so"", ""value"": ""eng"", ""index"": 1}, {""key"": ""nice"", ""value"": ""eng"", ""index"": 2}, {""key"": ""player"", ""value"": ""eng"", ""index"": 3}, {""key"": ""yar"", ""value"": ""hi"", ""index"": 4}, {""key"": ""what"", ""value"": ""eng"", ""index"": 5}, {""key"": ""fielding"", ""value"": ""eng"", ""index"": 6}, {""key"": ""nd"", ""value"": ""eng"", ""index"": 7}, {""key"": ""batting"", ""value"": ""eng"", ""index"": 8}, {""key"": ""also"", ""value"": ""eng"", ""index"": 9}, {""key"": ""keep"", ""value"": ""eng"", ""index"": 10}, {""key"": ""up"", ""value"": ""eng"", ""index"": 11}, {""key"": ""virat"", ""value"": ""un"", ""index"": 12}]"
va stept cu drag,"[{""key"": ""va"", ""value"": ""hi"", ""index"": 0}, {""key"": ""stept"", ""value"": ""eng"", ""index"": 1}, {""key"": ""cu"", ""value"": ""eng"", ""index"": 2}, {""key"": ""drag"", ""value"": ""eng"", ""index"": 3}]"
U shud feel lucky . If I was ur friend ... id have snatched the bedsheet and rode away .,"[{""key"": ""U"", ""value"": ""eng"", ""index"": 0}, {""key"": ""shud"", ""value"": ""eng"", ""index"": 1}, {""key"": ""feel"", ""value"": ""eng"", ""index"": 2}, {""key"": ""lucky"", ""value"": ""eng"", ""index"": 3}, {""key"": ""."", ""value"": ""un"", ""index"": 4}, {""key"": ""If"", ""value"": ""eng"", ""index"": 5}, {""key"": ""I"", ""value"": ""eng"", ""index"": 6}, {""key"": ""was"", ""value"": ""eng"", ""index"": 7}, {""key"": ""ur"", ""value"": ""eng"", ""index"": 8}, {""key"": ""friend"", ""value"": ""eng"", ""index"": 9}, {""key"": ""..."", ""value"": ""un"", ""index"": 10}, {""key"": ""id"", ""value"": ""eng"", ""index"": 11}, {""key"": ""have"", ""value"": ""eng"", ""index"": 12}, {""key"": ""snatched"", ""value"": ""eng"", ""index"": 13}, {""key"": ""the"", ""value"": ""eng"", ""index"": 14}, {""key"": ""bedsheet"", ""value"": ""eng"", ""index"": 15}, {""key"": ""and"", ""value"": ""eng"", ""index"": 16}, {""key"": ""rode"", ""value"": ""eng"", ""index"": 17}, {""key"": ""away"", ""value"": ""eng"", ""index"": 18}, {""key"": ""."", ""value"": ""un"", ""index"": 19}]"
India had really emerged as a leading nation under the Dynamic leadership of Mr. Modi . We have to rule the world in the 21st Century .,"[{""key"": ""India"", ""value"": ""un"", ""index"": 0}, {""key"": ""had"", ""value"": ""eng"", ""index"": 1}, {""key"": ""really"", ""value"": ""eng"", ""index"": 2}, {""key"": ""emerged"", ""value"": ""eng"", ""index"": 3}, {""key"": ""as"", ""value"": ""eng"", ""index"": 4}, {""key"": ""a"", ""value"": ""eng"", ""index"": 5}, {""key"": ""leading"", ""value"": ""eng"", ""index"": 6}, {""key"": ""nation"", ""value"": ""eng"", ""index"": 7}, {""key"": ""under"", ""value"": ""eng"", ""index"": 8}, {""key"": ""the"", ""value"": ""eng"", ""index"": 9}, {""key"": ""Dynamic"", ""value"": ""eng"", ""index"": 10}, {""key"": ""leadership"", ""value"": ""eng"", ""index"": 11}, {""key"": ""of"", ""value"": ""eng"", ""index"": 12}, {""key"": ""Mr."", ""value"": ""eng"", ""index"": 13}, {""key"": ""Modi"", ""value"": ""un"", ""index"": 14}, {""key"": ""."", ""value"": ""un"", ""index"": 15}, {""key"": ""We"", ""value"": ""eng"", ""index"": 16}, {""key"": ""have"", ""value"": ""eng"", ""index"": 17}, {""key"": ""to"", ""value"": ""eng"", ""index"": 18}, {""key"": ""rule"", ""value"": ""eng"", ""index"": 19}, {""key"": ""the"", ""value"": ""eng"", ""index"": 20}, {""key"": ""world"", ""value"": ""eng"", ""index"": 21}, {""key"": ""in"", ""value"": ""eng"", ""index"": 22}, {""key"": ""the"", ""value"": ""eng"", ""index"": 23}, {""key"": ""21st"", ""value"": ""un"", ""index"": 24}, {""key"": ""Century"", ""value"": ""eng"", ""index"": 25}, {""key"": ""."", ""value"": ""un"", ""index"": 26}]"
Vryyyyy happy bday sir may sai Saba always protect u .,"[{""key"": ""Vryyyyy"", ""value"": ""eng"", ""index"": 0}, {""key"": ""happy"", ""value"": ""eng"", ""index"": 1}, {""key"": ""bday"", ""value"": ""eng"", ""index"": 2}, {""key"": ""sir"", ""value"": ""eng"", ""index"": 3}, {""key"": ""may"", ""value"": ""eng"", ""index"": 4}, {""key"": ""sai"", ""value"": ""un"", ""index"": 5}, {""key"": ""Saba"", ""value"": ""un"", ""index"": 6}, {""key"": ""always"", ""value"": ""eng"", ""index"": 7}, {""key"": ""protect"", ""value"": ""eng"", ""index"": 8}, {""key"": ""u"", ""value"": ""eng"", ""index"": 9}, {""key"": ""."", ""value"": ""un"", ""index"": 10}]"
